"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.809308497E0,9.473562241E-3,-2.001016617E0,2.224250793E0
1.814308497E0,5.083882809E-2,-1.977086425E0,1.972766876E0
1.819308497E0,8.858489990E-2,-1.915370584E0,1.706480980E0
1.824308497E0,1.259388924E-1,-1.830550909E0,1.428085327E0
1.829308497E0,1.324357986E-1,-1.707546830E0,1.128892899E0
1.834308497E0,1.426756382E-1,-1.529329062E0,8.587274551E-1
1.839308497E0,1.675099134E-1,-1.325770140E0,5.575952530E-1
1.844308497E0,1.811449528E-1,-1.101274848E0,2.215824127E-1
1.849308497E0,1.497921944E-1,-8.585329056E-1,-6.612682343E-2
1.854308497E0,9.568893909E-2,-5.840567350E-1,-2.920618057E-1
1.859308497E0,8.312487602E-2,-3.862171173E-1,-4.859304428E-1
1.864308497E0,8.427155018E-2,-2.498661727E-1,-7.284746170E-1
1.869308497E0,1.146023273E-1,-1.960414499E-1,-9.422655106E-1
1.874308497E0,1.872267723E-1,-1.881060004E-1,-1.079356194E0
1.879308497E0,2.930402756E-1,-1.960636228E-1,-1.163108826E0
1.884308497E0,4.350192547E-1,-2.025714517E-1,-1.173910141E0
1.889308497E0,6.233094931E-1,-2.481559962E-1,-1.107952118E0
1.894308497E0,7.912226915E-1,-3.421726227E-1,-1.053297043E0
1.899308497E0,1.030392885E0,-4.355250895E-1,-9.796113968E-1
1.904308497E0,1.374825478E0,-4.433259368E-1,-8.442049026E-1
1.909308497E0,1.676476717E0,-4.988977313E-1,-6.774845123E-1
